graph,person_id,category_id,direction,amount
template,2,630626,spending,5000.0
template,2,536346,spending,1000.0
template,2,520660,spending,3000.0
template,2,567195,spending,4000.0
template,2,527449,spending,100.0
template,2,459381,spending,900.0
template,2,595298,spending,2000.0
template,2,466907,spending,600.0
template,2,589943,spending,2000.0
template,2,577992,spending,3000.0
template,2,537281,spending,400.0
template,2,523927,spending,200.0
template,2,580426,spending,1000.0
template,2,595581,spending,3000.0
template,2,642329,spending,1000.0
template,2,503701,spending,1000.0
template,2,571970,spending,20.0
template,2,644226,spending,500.0
template,2,632961,spending,10.0
template,2,473173,spending,2000.0
template,2,620120,spending,5000.0
template,2,621924,spending,700.0
template,27,630626,spending,6000.0
template,27,536346,spending,900.0
template,27,520660,spending,6000.0
template,27,567195,spending,5000.0
template,27,527449,spending,400.0
template,27,459381,spending,700.0
template,27,595298,spending,700.0
template,27,466907,spending,600.0
template,27,589943,spending,5000.0
template,27,577992,spending,2000.0
template,27,537281,spending,50.0
template,27,595581,spending,1000.0
template,27,616315,spending,800.0
template,27,642329,spending,2000.0
template,27,503701,spending,4000.0
template,27,644226,spending,800.0
template,27,632961,spending,300.0
template,27,473173,spending,700.0
template,27,620120,spending,9000.0
template,29,630626,spending,6000.0
template,29,536346,spending,1000.0
template,29,567195,spending,4000.0
template,29,527449,spending,200.0
template,29,459381,spending,600.0
template,29,595298,spending,1000.0
template,29,466907,spending,800.0
template,29,589943,spending,2000.0
template,29,577992,spending,2000.0
template,29,537281,spending,200.0
template,29,595581,spending,500.0
template,29,616315,spending,400.0
template,29,642329,spending,100.0
template,29,503701,spending,1000.0
template,29,644226,spending,200.0
template,29,632961,spending,500.0
template,29,473173,spending,1000.0
template,29,620120,spending,6000.0
template,29,575030,spending,8000.0
template,29,621924,spending,400.0
template,31,503218,spending,500.0
template,31,630626,spending,4000.0
template,31,536346,spending,1000.0
template,31,520660,spending,2000.0
template,31,567195,spending,1000.0
template,31,527449,spending,400.0
template,31,459381,spending,500.0
template,31,595298,spending,1000.0
template,31,466907,spending,400.0
template,31,577992,spending,70.0
template,31,537281,spending,600.0
template,31,580426,spending,200.0
template,31,595581,spending,200.0
template,31,616315,spending,500.0
template,31,642329,spending,200.0
template,31,503701,spending,2000.0
template,31,644226,spending,1000.0
template,31,632961,spending,300.0
template,31,473173,spending,2000.0
template,31,620120,spending,700.0
template,31,575030,spending,5000.0
template,31,621924,spending,900.0
template,33,630626,spending,5000.0
template,33,567195,spending,2000.0
template,33,527449,spending,500.0
template,33,459381,spending,100.0
template,33,595298,spending,3000.0
template,33,466907,spending,500.0
template,33,577992,spending,400.0
template,33,537281,spending,200.0
template,33,523927,spending,3000.0
template,33,580426,spending,2000.0
template,33,595581,spending,2000.0
template,33,616315,spending,3000.0
template,33,642329,spending,900.0
template,33,503701,spending,900.0
template,33,632961,spending,500.0
template,33,473173,spending,3000.0
template,33,620120,spending,10000.0
template,33,575030,spending,4000.0
template,33,621924,spending,2000.0
template,34,630626,spending,3000.0
template,34,567195,spending,1000.0
template,34,527449,spending,200.0
template,34,459381,spending,200.0
template,34,595298,spending,40.0
template,34,589943,spending,300.0
template,34,537281,spending,600.0
template,34,523927,spending,2000.0
template,34,580426,spending,100.0
template,34,595581,spending,800.0
template,34,616315,spending,100.0
template,34,642329,spending,1000.0
template,34,503701,spending,3000.0
template,34,632961,spending,400.0
template,34,473173,spending,2000.0
template,34,620120,spending,1000.0
template,34,575030,spending,4000.0
template,34,621924,spending,30.0
template,35,630626,spending,6000.0
template,35,567195,spending,6000.0
template,35,527449,spending,80.0
template,35,459381,spending,600.0
template,35,595298,spending,1000.0
template,35,466907,spending,700.0
template,35,589943,spending,1000.0
template,35,537281,spending,1000.0
template,35,523927,spending,3000.0
template,35,642329,spending,2000.0
template,35,503701,spending,200.0
template,35,571970,spending,40.0
template,35,632961,spending,600.0
template,35,473173,spending,100.0
template,35,620120,spending,6000.0
template,35,575030,spending,6000.0
template,36,630626,spending,3000.0
template,36,567195,spending,1000.0
template,36,527449,spending,200.0
template,36,459381,spending,500.0
template,36,595298,spending,2000.0
template,36,466907,spending,300.0
template,36,589943,spending,1000.0
template,36,537281,spending,400.0
template,36,523927,spending,400.0
template,36,580426,spending,100.0
template,36,616315,spending,500.0
template,36,642329,spending,700.0
template,36,503701,spending,3000.0
template,36,571970,spending,200.0
template,36,632961,spending,500.0
template,36,473173,spending,2000.0
template,36,575030,spending,9000.0
template,37,630626,spending,2000.0
template,37,536346,spending,800.0
template,37,567195,spending,5000.0
template,37,527449,spending,400.0
template,37,459381,spending,200.0
template,37,595298,spending,2000.0
template,37,466907,spending,500.0
template,37,577992,spending,2000.0
template,37,523927,spending,1000.0
template,37,616315,spending,50.0
template,37,503701,spending,2000.0
template,37,571970,spending,60.0
template,37,644226,spending,1000.0
template,37,632961,spending,300.0
template,37,473173,spending,2000.0
template,37,621924,spending,300.0
template,38,630626,spending,600.0
template,38,567195,spending,3000.0
template,38,527449,spending,300.0
template,38,459381,spending,200.0
template,38,595298,spending,1000.0
template,38,466907,spending,600.0
template,38,589943,spending,600.0
template,38,577992,spending,1000.0
template,38,523927,spending,1000.0
template,38,580426,spending,70.0
template,38,595581,spending,500.0
template,38,616315,spending,800.0
template,38,503701,spending,2000.0
template,38,571970,spending,60.0
template,38,632961,spending,200.0
template,38,473173,spending,2000.0
template,39,527449,spending,200.0
template,39,459381,spending,200.0
template,39,595298,spending,1000.0
template,39,577992,spending,2000.0
template,39,537281,spending,300.0
template,39,523927,spending,2000.0
template,39,595581,spending,200.0
template,39,642329,spending,900.0
template,39,503701,spending,2000.0
template,39,571970,spending,90.0
template,39,473173,spending,800.0
template,39,620120,spending,1000.0
template,39,575030,spending,300.0
template,39,621924,spending,3000.0
template,40,503218,spending,500.0
template,40,567195,spending,700.0
template,40,527449,spending,100.0
template,40,459381,spending,400.0
template,40,595298,spending,1000.0
template,40,466907,spending,500.0
template,40,589943,spending,600.0
template,40,577992,spending,1000.0
template,40,537281,spending,1000.0
template,40,580426,spending,100.0
template,40,595581,spending,400.0
template,40,616315,spending,300.0
template,40,642329,spending,70.0
template,40,503701,spending,2000.0
template,40,571970,spending,300.0
template,40,473173,spending,2000.0
template,40,575030,spending,8000.0
template,41,567195,spending,1000.0
template,41,527449,spending,100.0
template,41,459381,spending,500.0
template,41,595298,spending,1000.0
template,41,466907,spending,70.0
template,41,589943,spending,2000.0
template,41,537281,spending,40.0
template,41,580426,spending,500.0
template,41,616315,spending,400.0
template,41,503701,spending,800.0
template,41,571970,spending,100.0
template,41,632961,spending,40.0
template,41,473173,spending,30.0
template,41,620120,spending,2000.0
template,41,575030,spending,400.0
template,42,567195,spending,700.0
template,42,527449,spending,200.0
template,42,459381,spending,700.0
template,42,595298,spending,2000.0
template,42,466907,spending,700.0
template,42,589943,spending,900.0
template,42,537281,spending,500.0
template,42,523927,spending,1000.0
template,42,595581,spending,300.0
template,42,616315,spending,600.0
template,42,642329,spending,800.0
template,42,503701,spending,1000.0
template,42,571970,spending,100.0
template,42,632961,spending,200.0
template,42,473173,spending,3000.0
template,42,620120,spending,400.0
template,42,621924,spending,600.0
template,43,503218,spending,700.0
template,43,567195,spending,400.0
template,43,527449,spending,100.0
template,43,459381,spending,400.0
template,43,595298,spending,1000.0
template,43,466907,spending,300.0
template,43,589943,spending,500.0
template,43,537281,spending,80.0
template,43,523927,spending,2000.0
template,43,580426,spending,500.0
template,43,616315,spending,1000.0
template,43,503701,spending,400.0
template,43,571970,spending,70.0
template,43,632961,spending,70.0
template,43,473173,spending,300.0
template,43,620120,spending,2000.0
template,43,575030,spending,6000.0
template,44,630626,spending,6000.0
template,44,567195,spending,6000.0
template,44,527449,spending,400.0
template,44,459381,spending,800.0
template,44,595298,spending,500.0
template,44,466907,spending,1000.0
template,44,589943,spending,3000.0
template,44,577992,spending,2000.0
template,44,523927,spending,5000.0
template,44,616315,spending,9000.0
template,44,642329,spending,900.0
template,44,571970,spending,200.0
template,44,632961,spending,400.0
template,44,473173,spending,2000.0
template,44,620120,spending,4000.0
template,44,575030,spending,7000.0
template,45,630626,spending,6000.0
template,45,536346,spending,2.0
template,45,520660,spending,3000.0
template,45,567195,spending,10000.0
template,45,527449,spending,200.0
template,45,459381,spending,800.0
template,45,595298,spending,3000.0
template,45,466907,spending,700.0
template,45,589943,spending,3000.0
template,45,577992,spending,1000.0
template,45,523927,spending,1000.0
template,45,580426,spending,200.0
template,45,595581,spending,4000.0
template,45,616315,spending,600.0
template,45,642329,spending,3000.0
template,45,571970,spending,60.0
template,45,644226,spending,800.0
template,45,632961,spending,300.0
template,45,473173,spending,900.0
template,45,620120,spending,8000.0
template,45,575030,spending,6000.0
template,45,621924,spending,2000.0
template,46,630626,spending,3000.0
template,46,536346,spending,2000.0
template,46,520660,spending,3000.0
template,46,567195,spending,700.0
template,46,527449,spending,50.0
template,46,459381,spending,200.0
template,46,595298,spending,5000.0
template,46,466907,spending,500.0
template,46,537281,spending,200.0
template,46,523927,spending,600.0
template,46,580426,spending,700.0
template,46,595581,spending,600.0
template,46,616315,spending,700.0
template,46,503701,spending,2000.0
template,46,644226,spending,2000.0
template,46,632961,spending,70.0
template,46,473173,spending,1000.0
template,46,620120,spending,3000.0
template,46,575030,spending,1000.0
template,46,621924,spending,1000.0
template,47,630626,spending,5000.0
template,47,567195,spending,3000.0
template,47,527449,spending,300.0
template,47,459381,spending,700.0
template,47,595298,spending,4000.0
template,47,466907,spending,600.0
template,47,589943,spending,200.0
template,47,523927,spending,2000.0
template,47,580426,spending,20.0
template,47,595581,spending,200.0
template,47,616315,spending,2000.0
template,47,503701,spending,500.0
template,47,571970,spending,80.0
template,47,473173,spending,600.0
template,47,620120,spending,900.0
template,47,575030,spending,4000.0
template,48,630626,spending,4000.0
template,48,567195,spending,5000.0
template,48,527449,spending,10.0
template,48,459381,spending,500.0
template,48,595298,spending,2000.0
template,48,466907,spending,900.0
template,48,537281,spending,500.0
template,48,523927,spending,3000.0
template,48,580426,spending,600.0
template,48,595581,spending,2000.0
template,48,616315,spending,100.0
template,48,503701,spending,200.0
template,48,632961,spending,500.0
template,48,473173,spending,300.0
template,48,620120,spending,6000.0
template,48,575030,spending,3000.0
template,49,640784,spending,1000.0
template,49,630626,spending,5000.0
template,49,536346,spending,200.0
template,49,520660,spending,2000.0
template,49,567195,spending,1000.0
template,49,527449,spending,300.0
template,49,459381,spending,500.0
template,49,595298,spending,3000.0
template,49,466907,spending,700.0
template,49,606730,spending,1000.0
template,49,589943,spending,4000.0
template,49,577992,spending,2000.0
template,49,580426,spending,1000.0
template,49,595581,spending,3000.0
template,49,616315,spending,400.0
template,49,642329,spending,400.0
template,49,503701,spending,3000.0
template,49,571970,spending,20.0
template,49,644226,spending,2000.0
template,49,632961,spending,300.0
template,49,473173,spending,300.0
template,49,620120,spending,6000.0
template,49,575030,spending,5000.0
template,49,621924,spending,3000.0
template,52,630626,spending,4000.0
template,52,536346,spending,2000.0
template,52,520660,spending,3000.0
template,52,527449,spending,70.0
template,52,459381,spending,7.0
template,52,595298,spending,4000.0
template,52,466907,spending,400.0
template,52,589943,spending,50.0
template,52,577992,spending,2000.0
template,52,523927,spending,2000.0
template,52,580426,spending,700.0
template,52,616315,spending,800.0
template,52,642329,spending,1000.0
template,52,503701,spending,4000.0
template,52,644226,spending,1000.0
template,52,632961,spending,20.0
template,52,473173,spending,3000.0
template,52,620120,spending,9000.0
template,52,575030,spending,5000.0
template,53,527449,spending,90.0
template,53,459381,spending,70.0
template,53,595298,spending,2000.0
template,53,466907,spending,2000.0
template,53,589943,spending,2000.0
template,53,537281,spending,600.0
template,53,523927,spending,400.0
template,53,595581,spending,3000.0
template,53,616315,spending,4000.0
template,53,642329,spending,900.0
template,53,503701,spending,6000.0
template,53,571970,spending,200.0
template,53,473173,spending,1000.0
template,53,621924,spending,400.0
template,54,567195,spending,4000.0
template,54,527449,spending,200.0
template,54,459381,spending,2000.0
template,54,595298,spending,1000.0
template,54,466907,spending,1000.0
template,54,589943,spending,2000.0
template,54,523927,spending,1000.0
template,54,580426,spending,900.0
template,54,616315,spending,4000.0
template,54,642329,spending,1000.0
template,54,503701,spending,3000.0
template,54,571970,spending,500.0
template,54,632961,spending,2000.0
template,54,473173,spending,1000.0
template,54,620120,spending,4000.0
